id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6054737,Stylish 2 room Old Town flat - MARTA,8547277,Tom,,Södermalms,59.32497,18.07429,Entire home/apt,2785,2,316,2024-08-03,2.73,6,212,1,
6069079,room & bathroom in city center,31503484,Shoaib,,Östermalms,59.35121,18.06422,Shared room,,1,2,2015-05-12,0.02,1,0,0,
6074477,Nice 2-room apartment,31526566,Pille,,Hägersten-Liljeholmens,59.31376,17.99323,Entire home/apt,1000,2,21,2024-11-17,0.18,1,116,2,
6126237,Luxury Suite with 4 bedrooms: Prestige,31783855,Residence,,Södermalms,59.32401,18.07244,Entire home/apt,9450,2,101,2024-12-20,0.87,8,277,30,
6151779,Top renovated apartment for 2,3938305,Arnold,,Östermalms,59.34043,18.08529,Entire home/apt,4000,80,20,2023-09-15,0.17,1,89,0,
6161942,Cozy 4br house near the center,30060430,Larissa,,Spånga-Tensta,59.38401,17.88054,Entire home/apt,,3,1,2015-07-29,0.01,1,0,0,
6168772,"Large, bright, unique apartment",30107545,Ylva,,Enskede-Årsta-Vantörs,59.30199,18.03596,Entire home/apt,1400,7,42,2024-08-04,0.37,1,77,4,
6188574,Stockholm - Villa with pool & sauna,32100052,Charlotte,,Hässelby-Vällingby,59.36636,17.82318,Entire home/apt,3141,4,87,2023-08-22,0.82,1,177,0,
6197509,Your cool home in central Stockholm,9907514,Gabriella,,Norrmalms,59.34567,18.05458,Entire home/apt,1850,4,21,2023-07-02,0.19,1,88,0,
6224078,Charming&stylish 2BR with sunlight balcony Bromma,30674791,Samar,,Bromma,59.34047,17.93537,Entire home/apt,549,30,7,2017-10-20,0.06,1,364,0,
6234004,Natursköna Hässelby,32341237,Familjen Ericson,,Hässelby-Vällingby,59.38458,17.81974,Entire home/apt,,2,23,2020-01-06,0.20,1,0,0,
6242152,TWO ETAGE APP AT KUNGSHOLMEN STORA ESSINGEN STOCKH,20737617,Roger,,Kungsholmens,59.32131,17.98745,Entire home/apt,1606,3,84,2023-07-31,0.74,1,0,0,
6242179,Luxurious 3 bedroom penthouse with sea view,471592390,Lisa,,Kungsholmens,59.31905,17.98854,Entire home/apt,3500,5,8,2024-08-07,0.27,1,100,6,
6258323,"Central, 2 bedroom, renovated 22",32513670,Emelie,,Norrmalms,59.337875158426776,18.067737318406913,Entire home/apt,,3,3,2023-09-14,0.15,1,0,0,
6262234,Close to town w big terrace,32540097,Hanna,,Hägersten-Liljeholmens,59.30582,18.0035,Entire home/apt,2100,4,11,2018-07-27,0.10,1,88,0,
6287416,1-bedroom apartment very close to subway,32685182,Birgitta,,Enskede-Årsta-Vantörs,59.29622,18.03982,Entire home/apt,980,4,48,2024-08-19,0.46,1,345,4,
6294330,Two floor apartment at Södermalm,32730118,Ann,,Hägersten-Liljeholmens,59.299618996438205,18.000900207420486,Entire home/apt,,3,14,2017-02-26,0.12,1,0,0,
6310727,Delightful apartment with balcony,3717659,Kenneth,,Skarpnäcks,59.291851,18.106318,Entire home/apt,1490,2,56,2024-11-03,0.48,1,10,9,
6312515,"House in Stockholm, nature & lakes!",32838958,Sofi,,Skarpnäcks,59.27544,18.14469,Entire home/apt,1000,6,28,2024-08-22,0.24,1,256,3,
6321620,Villa Nobel - Stor villa med pool,27149986,Jonas,,Bromma,59.3253,17.92965,Entire home/apt,3862,3,52,2024-08-18,0.45,1,221,5,
6332865,In the city center with patio,32966646,Emelie,,Norrmalms,59.34448,18.04633,Entire home/apt,,4,6,2019-03-07,0.05,1,0,0,
6340185,"Cosy, green and artsy apartment",7775558,Gregor,,Kungsholmens,59.3246,18.00542,Entire home/apt,,3,50,2023-04-19,0.43,1,0,0,
6367576,A sweet place,3048459,Jeanette,,Enskede-Årsta-Vantörs,59.27896,18.09451,Entire home/apt,,14,27,2019-01-31,0.23,1,0,0,
6370777,Room at Odenplan,16739269,Ture,,Norrmalms,59.3439,18.05092,Private room,360,2,591,2024-12-20,5.10,1,130,57,
6374267,Cool place close to town,33217257,Robert,,Farsta,59.2707,18.06536,Entire home/apt,701,1,0,,,1,14,0,
6381131,Big two bed room apartment Söder,33262856,Susan,,Södermalms,59.314,18.05088,Entire home/apt,,2,28,2018-03-19,0.24,2,0,0,
6385046,Family friendly house with garden close to City,32504025,Anna,,Skarpnäcks,59.28467,18.10566,Entire home/apt,3750,1,29,2024-07-28,0.30,1,49,4,
6401684,Stort ljust rum i lugna Hökarängen,27779227,Katta,,Farsta,59.251,18.08772,Private room,250,5,20,2019-08-11,0.17,1,244,0,
6426170,Family home close to the city,30533848,Stina,,Bromma,59.34862,17.91045,Entire home/apt,,3,21,2024-08-12,0.18,1,0,5,
6435900,Spacious apartment in Stockholm,12276416,Johanna,,Hägersten-Liljeholmens,59.29963,18.00624,Entire home/apt,1500,5,30,2022-07-27,0.26,2,0,0,
6447056,Cozy studio apt in Central Stockhom,33658433,Siem,,Norrmalms,59.33781,18.04696,Entire home/apt,700,500,7,2015-07-29,0.06,1,365,0,
6450135,"Nice apartment, Slussen Södermalm",29535862,Stine,,Södermalms,59.31759,18.06958,Entire home/apt,,3,77,2020-02-29,0.67,1,0,0,
6488905,Lovely 2 room apt in trendy Hornstull,33911144,Julia,,Södermalms,59.31702,18.03508,Entire home/apt,,5,19,2020-02-27,0.16,1,0,0,
6498805,2 bedroom flat 7 min from central Stockholm,16947253,Jennie,,Östermalms,59.35542,18.08796,Entire home/apt,,2,28,2020-10-26,0.30,1,0,0,
6547267,A green oasis in central Stockholm!,34247166,Fernando,,Östermalms,59.34703,18.10552,Entire home/apt,,1,0,,,1,0,0,
6639610,"Cozy studio, Amazing view, Nytorget",6977292,Aleksandra,,Södermalms,59.31259,18.08232,Entire home/apt,1000,3,335,2024-10-17,2.89,1,133,29,
6644003,In the middle of the middle of Sö..,34775475,Morten,,Södermalms,59.31092,18.0699,Entire home/apt,1190,90,12,2016-06-19,0.10,2,90,0,
